country,continent,population,Cases,Recovered,Deaths,Tests
Saint_Helena,Africa,6115,2166,2,0,0
Falkland_Islands,South_America,3539,1930,1930,0,8632
Montserrat,North_America,4965,1403,1376,8,17762
Diamond_Princess,Others,0,712,699,13,0
Vatican_City,Europe,799,29,29,0,0
Western_Sahara,Africa,626161,10,9,1,0
MS_Zaandam,Others,0,9,7,2,0
China,Asia,1448471400,503302,379053,5272,160000000
Tokelau,Oceania,1378,80,0,0,0
Saint_Pierre_Miquelon,North_America,5759,3452,2449,2,25400
Tuvalu,Oceania,12066,2943,0,1,0
Niue,Oceania,1622,1059,1056,0,0
Nicaragua,North_America,6779100,18491,4225,225,0
Tajikistan,Asia,9957464,17786,17264,125,0
Djibouti,Africa,1016097,15690,15427,189,305941
Greenland,North_America,56973,11971,2761,21,164926
Eritrea,Africa,3662244,10189,10086,103,23693
Niger,Africa,26083660,9931,8890,312,254538
Equatorial_Guinea,Africa,1496662,17229,16907,183,365697
Liberia,Africa,5305117,8090,7783,295,139824
Nauru,Oceania,10903,5393,5347,1,20509
Caribbean_Netherlands,North_America,26647,11682,10476,38,30126
Bermuda,North_America,61939,18860,18685,165,1029558
Gambia,Africa,2558482,12626,12189,372,155686
Grenada,North_America,113475,19693,19358,238,182981
Comoros,Africa,907419,9109,8939,161,0
Guinea_Bissau,Africa,2063367,9614,8929,177,145231
Chad,Africa,17413580,7701,4874,194,191341
Vanuatu,Oceania,321832,12019,11976,14,24976
Sint_Maarten,North_America,43966,11051,10905,92,62056
Wallis_and_Futuna,Oceania,10982,3550,438,8,20508
St_Barth,North_America,9945,5507,0,6,78646
Saint_Kitts_and_Nevis,North_America,53871,6607,6559,48,126958
Timor_Leste,Asia,1369429,23460,23102,138,278529
Kiribati,Oceania,123419,5085,2703,24,0
Burkina_Faso,Africa,22102838,22114,21596,400,248995
Liechtenstein,Europe,38387,21574,0,94,112457
Gibraltar,Europe,33704,20550,0,113,534283
South_Sudan,Africa,11618511,18819,18115,147,410280
Monaco,Europe,39783,17181,0,67,78646
Samoa,Oceania,202239,17006,1605,31,187397
Tonga,Oceania,107749,16950,15638,13,535009
Marshall_Islands,Oceania,60057,16138,16121,17,0
Dominica,North_America,72344,16038,15964,74,229344
CAR,Africa,5016678,15440,15200,113,81294
Saint_Martin,North_America,39730,12324,0,63,112382
Yemen,Asia,31154867,11945,9124,2159,329592
St_Vincent_Grenadines,North_America,111551,9674,9493,124,114197
Antigua_and_Barbuda,North_America,99509,9106,8954,146,18901
Sierra_Leone,Africa,8306436,7779,0,126,259958
British_Virgin_Islands,North_America,30596,7392,0,64,107339
Cook_Islands,Oceania,17571,7203,7150,2,19690
Sao_Tome_and_Principe,Africa,227679,6778,6685,80,29600
Turks_and_Caicos,North_America,39741,6752,6709,40,616788
Palau,Oceania,18233,6290,6276,10,71434
Anguilla,North_America,15230,3904,0,12,51382
Cura&ccedil;ao,North_America,165529,45986,44720,295,496693
Isle_of_Man,Europe,85732,38008,0,116,150753
Cayman_Islands,North_America,67277,31472,8553,37,222773
Congo,Africa,5797805,25375,24006,386,347815
Somalia,Africa,16841795,27334,13182,1361,400466
Mayotte,Africa,286259,42027,0,188,176919
Bahamas,North_America,400516,38084,36366,844,257839
Aruba,North_America,107609,44224,42438,292,177885
Madagascar,Africa,29178077,68486,66862,1426,531329
Cabo_Verde,Africa,567678,64477,63755,417,401622
Sudan,Africa,45992020,63993,58947,5046,562941
Mauritania,Africa,4901981,63848,62471,997,1009957
Bhutan,Asia,787941,62697,61564,21,2303734
Syria,Asia,19364809,57743,54578,3165,146269
Burundi,Africa,12624840,54721,53569,38,345742
Seychelles,Africa,99426,51220,51048,172,0
Gabon,Africa,2331533,49051,48674,307,1621909
Andorra,Europe,77463,48015,0,165,249838
Papua_New_Guinea,Oceania,9292169,46864,46168,670,249149
Tanzania,Africa,63298550,43223,0,846,0
Mauritius,Africa,1274727,43025,41278,1051,358675
